movie_id	imdb	title	year	path	start	end
commando	tt0088944	Commando	1985	/fake/path/for/movies.mp4		
legend_of_the_lone_ranger_fs	tt0082648	The Legend of the Lone Ranger	1981	/fake/path/for/movies.mp4		
guarding.tess_tt0109951	tt0109951	Guarding Tess	1994	/fake/path/for/movies.mp4		
training_day	tt0139654	Training Day	2001	/fake/path/for/movies.mp4		
french.dispatch_tt8847712	tt8847712	The French Dispatch	2021	/fake/path/for/movies.mp4		
xmen_origins_wolverine	tt0458525	X-Men Origins: Wolverine	2009	/fake/path/for/movies.mp4		
three.amigos_tt0092086	tt0092086	Three Amigos!	1986	/fake/path/for/movies.mp4		
cool_runnings	tt0106611	Cool Runnings	1993	/fake/path/for/movies.mp4		
unknown_tt1401152	tt1401152	Unknown	2011	/fake/path/for/movies.mp4		
crocodile_dundee	tt0090555	Crocodile Dundee	1986	/fake/path/for/movies.mp4		
twilight_zone	tt0086491	Twilight Zone: The Movie	1983	/fake/path/for/movies.mp4		
hunger_games_mockingjay_1	tt1951265	The Hunger Games: Mockingjay - Part 1	2014	/fake/path/for/movies.mp4		
rocky.v_tt0100507	tt0100507	Rocky V	1990	/fake/path/for/movies.mp4		
simple.favor_tt7040874	tt7040874	Simple Favor, A	2018	/fake/path/for/movies.mp4		
george_of_the_jungle_fs	tt0119190	George of the Jungle	1997	/fake/path/for/movies.mp4		
life.is.beautif_tt0118799	tt0118799	Life Is Beautiful	1999	/fake/path/for/movies.mp4		
pretty_woman	tt0100405	Pretty Woman	1990	/fake/path/for/movies.mp4		
be.cool_tt0377471	tt0377471	Be Cool	2005	/fake/path/for/movies.mp4		
sphere_tt0120184	tt0120184	Sphere	1998	/fake/path/for/movies.mp4		
flintstones	tt0109813	The Flintstones	1994	/fake/path/for/movies.mp4		
flamingo.kid_tt0087265	tt0087265	Flamingo Kid, The	1985	/fake/path/for/movies.mp4		
it.could.happen_tt0110167	tt0110167	It Could Happen to You	1994	/fake/path/for/movies.mp4		
evan_almighty	tt0413099	Evan Almighty	2007	/fake/path/for/movies.mp4		
murder.on.the.o_tt3402236	tt3402236	Murder on the Orient Express	2017	/fake/path/for/movies.mp4		
